File Name,Dimension,Number of Trucks,Capacity,Optimal Cost,ABC Cost,Execution Time
E-n101-k14,101,14,112,1.18092e-311,1599.73,55.547
E-n101-k8,101,8,200,1.18092e-311,1532.33,32.415
E-n22-k4,22,4,6000,375,375.28,12.604
E-n23-k3,23,3,4500,569,568.563,5.2
E-n30-k3,30,3,4500,534,543.574,10.096
E-n33-k4,33,4,8000,835,895.717,12.276
E-n51-k5,51,5,160,521,731.441,23.333
E-n76-k10,76,10,140,830,1176.71,57.492
E-n76-k14,76,14,100,1021,1299.03,76.887
E-n76-k7,76,7,220,682,1094.81,19.205
E-n76-k8,76,8,180,682,1105.87,30.436
